time	V(1)	V(3)
1.419773830546738e-007	0.000000e+000	9.027301e-006
1.423680080546738e-007	0.000000e+000	1.291973e-005
1.427586330546738e-007	0.000000e+000	1.504555e-005
1.431492580546738e-007	0.000000e+000	1.566641e-005
1.435398830546738e-007	0.000000e+000	1.508563e-005
1.439305080546738e-007	0.000000e+000	1.361820e-005
1.443211330546738e-007	0.000000e+000	1.156676e-005
1.449070705546738e-007	0.000000e+000	7.979968e-006
1.454930080546739e-007	0.000000e+000	4.421664e-006
1.460789455546739e-007	0.000000e+000	1.387485e-006
1.464416687689596e-007	0.000000e+000	-4.260345e-008
1.468043919832453e-007	0.000000e+000	-1.195505e-006
1.471671151975310e-007	0.000000e+000	-2.071220e-006
1.475298384118168e-007	0.000000e+000	-2.669748e-006
1.478925616261025e-007	0.000000e+000	-2.991090e-006
1.482552848403882e-007	0.000000e+000	-3.035244e-006
1.486180080546739e-007	0.000000e+000	-2.802212e-006
1.491481419832454e-007	0.000000e+000	-2.191849e-006
1.496782759118168e-007	0.000000e+000	-1.630010e-006
1.502084098403883e-007	0.000000e+000	-1.116697e-006
1.507385437689597e-007	0.000000e+000	-6.519075e-007
1.512686776975311e-007	0.000000e+000	-2.356432e-007
1.517988116261026e-007	0.000000e+000	1.320964e-007
1.523289455546740e-007	0.000000e+000	4.513112e-007
1.533334098403883e-007	0.000000e+000	3.519667e-007
1.543378741261027e-007	0.000000e+000	2.606298e-007
1.553423384118170e-007	0.000000e+000	1.773005e-007
1.563468026975313e-007	0.000000e+000	1.019787e-007
1.573512669832456e-007	0.000000e+000	3.466442e-008
1.583557312689599e-007	0.000000e+000	-2.464226e-008
1.593601955546742e-007	0.000000e+000	-7.594139e-008
1.929539455546750e-007	0.000000e+000	8.953240e-013
1.999851955546752e-007	0.000000e+000	-7.898656e-014
2.000000000000000e-007	0.000000e+000	-7.797688e-014
