2.5n 0.6272m
1.34738e+06n 0.000619038m
1.34743e+06n 0m
1.34957e+06n 0.0219531m
1.34957e+06n 0.368565m
1.34958e+06n 1.45169m
1.34958e+06n 1.48323m
1.34959e+06n 0.361145m
1.34959e+06n 0.0238083m
1.34965e+06n 0m
1.35277e+06n 0.475185m
1.35277e+06n 7.83284m
1.35278e+06n 30.6363m
1.35278e+06n 30.8144m
1.35279e+06n 7.77779m
1.35279e+06n 0.487889m
1.3528e+06n 0.00453709m
1.35285e+06n 0m
1.35424e+06n 0.0398558m
1.35425e+06n 0.62773m
1.35425e+06n 2.46321m
1.35426e+06n 2.53205m
1.35426e+06n 0.642223m
1.35427e+06n 0.034421m
1.35427e+06n 0.000301938m
1.35433e+06n 0m
1.35569e+06n 0.0190013m
1.3557e+06n 0.373089m
1.3557e+06n 1.575m
1.35571e+06n 1.53458m
1.35571e+06n 0.396313m
1.35572e+06n 0.0220174m
1.35578e+06n 0m
1.35648e+06n 0.113736m
1.35648e+06n 1.74805m
1.35649e+06n 7.14375m
1.35649e+06n 7.13084m
1.3565e+06n 1.75525m
1.3565e+06n 0.110735m
1.35651e+06n 0.00120038m
1.35656e+06n 0m
1.35684e+06n 0.0559818m
1.35684e+06n 0.863078m
1.35685e+06n 3.4092m
1.35685e+06n 3.43734m
1.35686e+06n 0.860085m
1.35686e+06n 0.0547844m
1.35687e+06n 0.000598736m
1.35692e+06n 0m
1.35854e+06n 0.00508798m
1.35855e+06n 0.0861964m
1.35855e+06n 0.36005m
1.35856e+06n 0.35137m
1.35856e+06n 0.0873936m
1.35857e+06n 0.00778162m
1.35862e+06n 0m
1.36223e+06n 0.00239415m
1.36223e+06n 0.0284305m
1.36224e+06n 0.121204m
1.36224e+06n 0.117912m
1.36225e+06n 0.0287297m
1.36225e+06n 0.000598536m
1.36231e+06n 0m
1.36494e+06n 0.0248165m
1.36494e+06n 0.3268m
1.36495e+06n 1.28478m
1.36495e+06n 1.29554m
1.36496e+06n 0.334873m
1.36496e+06n 0.0215276m
1.36497e+06n 0.000298994m
1.36502e+06n 0m
1.36696e+06n 0.00328866m
1.36696e+06n 0.0275051m
1.36697e+06n 0.122278m
1.36697e+06n 0.114505m
1.36698e+06n 0.028402m
1.36698e+06n 0.00298969m
1.36704e+06n 0m
1.36662e+06n 0.0209069m
1.36662e+06n 0.377221m
1.36663e+06n 1.37806m
1.36663e+06n 1.416m
1.36664e+06n 0.366468m
1.36664e+06n 0.024491m
1.36665e+06n 0.00029867m
1.3667e+06n 0m
1.36817e+06n 0.0467861m
1.36818e+06n 0.769437m
1.36818e+06n 3.13109m
1.36819e+06n 3.25178m
1.36819e+06n 0.799833m
1.3682e+06n 0.0458921m
1.3682e+06n 0.000596001m
1.36825e+06n 0m
1.36794e+06n 0.00327746m
1.36794e+06n 0.0586963m
1.36795e+06n 0.246703m
1.36795e+06n 0.225251m
1.36796e+06n 0.0586963m
1.36796e+06n 0.00297951m
1.36802e+06n 0m
1.37e+06n 0.163558m
1.37e+06n 2.64916m
1.37001e+06n 10.4094m
1.37001e+06n 10.337m
1.37002e+06n 2.60302m
1.37002e+06n 0.156164m
1.37003e+06n 0.00147882m
1.37008e+06n 0m
1.37199e+06n 0.00295716m
1.37199e+06n 0.060326m
1.372e+06n 0.232728m
1.372e+06n 0.228293m
1.37201e+06n 0.0632832m
1.37201e+06n 0.00354859m
1.37202e+06n 0.000295716m
1.37207e+06n 0m
1.37376e+06n 0.00295667m
1.37377e+06n 0.0552897m
1.37377e+06n 0.225003m
1.37378e+06n 0.237716m
1.37378e+06n 0.0671164m
1.37379e+06n 0.00325234m
1.37385e+06n 0m
1.37707e+06n 0.0315817m
1.37707e+06n 0.612744m
1.37708e+06n 2.46869m
1.37708e+06n 2.41939m
1.37709e+06n 0.629863m
1.37709e+06n 0.0351236m
1.37715e+06n 0m
1.37989e+06n 0.0268283m
1.37989e+06n 0.39417m
1.3799e+06n 1.64567m
1.3799e+06n 1.62031m
1.37991e+06n 0.411859m
1.37991e+06n 0.0280076m
1.37997e+06n 0m
1.38117e+06n 0.0270897m
1.38117e+06n 0.449336m
1.38118e+06n 1.73698m
1.38118e+06n 1.75141m
1.38119e+06n 0.42313m
1.38119e+06n 0.0279731m
1.3812e+06n 0.000294454m
1.38125e+06n 0m
1.38279e+06n 0.164283m
1.38279e+06n 2.59579m
1.3828e+06n 10.3016m
1.3828e+06n 10.1841m
1.38281e+06n 2.59812m
1.38281e+06n 0.168668m
1.38282e+06n 0.00175391m
1.38287e+06n 0m
1.3852e+06n 0.0347349m
1.3852e+06n 0.514894m
1.38521e+06n 2.07417m
1.38521e+06n 2.07592m
1.38522e+06n 0.521607m
1.38522e+06n 0.031816m
1.38523e+06n 0.00058378m
1.38528e+06n 0m
1.38782e+06n 0.0590902m
1.38782e+06n 0.965237m
1.38783e+06n 3.92324m
1.38783e+06n 3.88016m
1.38784e+06n 1.00337m
1.38784e+06n 0.0631654m
1.38785e+06n 0.00145542m
1.3879e+06n 0m
1.39173e+06n 0.00611179m
1.39174e+06n 0.0590806m
1.39174e+06n 0.223226m
1.39175e+06n 0.235158m
1.39175e+06n 0.0550061m
1.39176e+06n 0.00349245m
1.39182e+06n 0m
1.39347e+06n 0.0029099m
1.39347e+06n 0.059653m
1.39348e+06n 0.227845m
1.39348e+06n 0.234538m
1.39349e+06n 0.0538332m
1.39349e+06n 0.00320089m
1.39355e+06n 0m
1.39568e+06n 0.0130871m
1.39569e+06n 0.207068m
1.39569e+06n 0.812856m
1.3957e+06n 0.795407m
1.3957e+06n 0.196598m
1.39571e+06n 0.00930641m
1.39571e+06n 0.0011633m
1.39576e+06n 0m
1.39612e+06n 0.00872193m
1.39613e+06n 0.118037m
1.39613e+06n 0.455285m
1.39614e+06n 0.456447m
1.39614e+06n 0.116292m
1.39615e+06n 0.00814047m
1.39621e+06n 0m
1.39617e+06n 0.000872122m
1.39618e+06n 0.0305243m
1.39618e+06n 0.111632m
1.39619e+06n 0.122969m
1.39619e+06n 0.0223845m
1.3962e+06n 0.00232566m
1.39625e+06n 0m
1.39923e+06n 0m
1.40136e+06n 0.108742m
1.40136e+06n 1.86568m
1.40137e+06n 7.24985m
1.40137e+06n 7.34153m
1.40138e+06n 1.82172m
1.40138e+06n 0.117707m
1.40139e+06n 0.00173524m
1.40144e+06n 0m
1.40327e+06n 41.3507m
1.40328e+06n 666.384m
1.40328e+06n 2640.21m
1.40329e+06n 2641.24m
1.40329e+06n 665.932m
1.4033e+06n 40.9099m
1.4033e+06n 0.597895m
1.40331e+06n 0.00408119m
1.40335e+06n 0m
1.40662e+06n 0.0836325m
1.40663e+06n 1.15862m
1.40663e+06n 4.867m
1.40664e+06n 4.91392m
1.40664e+06n 1.14842m
1.40665e+06n 0.067314m
1.4067e+06n 0m
1.40786e+06n 0.0122373m
1.40787e+06n 0.444623m
1.40787e+06n 1.60513m
1.40788e+06n 1.59289m
1.40788e+06n 0.399753m
1.40789e+06n 0.0224351m
1.40789e+06n 0.00203956m
1.40795e+06n 0m
1.41112e+06n 0.0917333m
1.41112e+06n 1.62266m
1.41113e+06n 6.34387m
1.41113e+06n 6.55587m
1.41114e+06n 1.60431m
1.41114e+06n 0.0896948m
1.4112e+06n 0m
1.41231e+06n 0.140568m
1.41231e+06n 2.05759m
1.41232e+06n 8.28334m
1.41232e+06n 7.79644m
1.41233e+06n 1.96184m
1.41233e+06n 0.130382m
1.41239e+06n 0m
1.41176e+06n 1.11597m
1.41177e+06n 18.4713m
1.41177e+06n 73.8973m
1.41178e+06n 73.0811m
1.41178e+06n 18.5746m
1.41179e+06n 1.17876m
1.41179e+06n 0.00607608m
1.41184e+06n 0m
1.41415e+06n 0.222564m
1.41415e+06n 3.14827m
1.41416e+06n 12.7489m
1.41416e+06n 12.7307m
1.41417e+06n 3.31419m
1.41417e+06n 0.206378m
1.41418e+06n 0.00202331m
1.41423e+06n 0m
1.416e+06n 0.292954m
1.41601e+06n 4.59635m
1.41601e+06n 18.1935m
1.41602e+06n 18.4662m
1.41602e+06n 4.62262m
1.41603e+06n 0.282853m
1.41603e+06n 0.0101019m
1.41608e+06n 0m
1.41829e+06n 1.50399m
1.4183e+06n 24.1239m
1.4183e+06n 94.2176m
1.41831e+06n 93.4296m
1.41831e+06n 23.9114m
1.41832e+06n 1.3977m
1.41832e+06n 0.0300797m
1.41838e+06n 0m
1.42025e+06n 0.0761637m
1.42025e+06n 1.66959m
1.42026e+06n 6.26146m
1.42026e+06n 6.29153m
1.42027e+06n 1.61748m
1.42027e+06n 0.11625m
1.42028e+06n 0.00200431m
1.42033e+06n 0m
1.42208e+06n 0.0220446m
1.42208e+06n 0.46895m
1.42209e+06n 1.54713m
1.42209e+06n 1.55314m
1.4221e+06n 0.390791m
1.4221e+06n 0.0240487m
1.42216e+06n 0m
1.42425e+06n 0.0741269m
1.42425e+06n 1.01374m
1.42426e+06n 3.9688m
1.42426e+06n 3.95878m
1.42427e+06n 0.933599m
1.42427e+06n 0.0661132m
1.42428e+06n 0.00200343m
1.42433e+06n 0m
1.42642e+06n 0m
1.42929e+06n 0.106135m
1.42929e+06n 1.32169m
1.4293e+06n 5.52104m
1.4293e+06n 5.70528m
1.42931e+06n 1.27963m
1.42931e+06n 0.0801021m
1.42932e+06n 0.00400511m
1.42937e+06n 0m
1.43226e+06n 0.0600616m
1.43227e+06n 0.786807m
1.43227e+06n 3.1232m
1.43228e+06n 3.15724m
1.43228e+06n 0.818839m
1.43229e+06n 0.0620636m
1.43235e+06n 0m
1.43382e+06n 0.319748m
1.43382e+06n 5.89336m
1.43383e+06n 23.0758m
1.43383e+06n 22.5882m
1.43384e+06n 5.74948m
1.43384e+06n 0.311755m
1.43385e+06n 0.00599528m
1.4339e+06n 0m
1.43594e+06n 0.239482m
1.43594e+06n 4.31867m
1.43595e+06n 17.4962m
1.43595e+06n 17.3086m
1.43596e+06n 4.28274m
1.43596e+06n 0.251457m
1.43597e+06n 0.00598706m
1.43602e+06n 0m
1.43877e+06n 0.294939m
1.43877e+06n 4.61938m
1.43878e+06n 18.1746m
1.43878e+06n 17.9773m
1.43879e+06n 4.46593m
1.43879e+06n 0.298924m
1.4388e+06n 0.00398566m
1.43885e+06n 0m
1.44075e+06n 0.0836519m
1.44076e+06n 1.66507m
1.44076e+06n 7.10842m
1.44076e+06n 7.05465m
1.44077e+06n 1.89412m
1.44078e+06n 0.119503m
1.44083e+06n 0m
1.44168e+06n 0.0836207m
1.44168e+06n 1.16671m
1.44169e+06n 4.70267m
1.44169e+06n 4.75643m
1.4417e+06n 1.17467m
1.4417e+06n 0.0617201m
1.44176e+06n 0m
1.44483e+06n 0m
1.44722e+06n 0.17902m
1.44722e+06n 3.07716m
1.44723e+06n 11.9446m
1.44723e+06n 11.5667m
1.44724e+06n 2.89217m
1.44724e+06n 0.171064m
1.44725e+06n 0.00397823m
1.4473e+06n 0m
1.44942e+06n 0.264207m
1.44943e+06n 4.05052m
1.44943e+06n 16.4206m
1.44944e+06n 16.363m
1.44944e+06n 4.38823m
1.44945e+06n 0.226463m
1.4495e+06n 0m
1.45178e+06n 0.15282m
1.45178e+06n 3.0425m
1.45179e+06n 11.5111m
1.45179e+06n 11.8167m
1.4518e+06n 3.03854m
1.4518e+06n 0.200452m
1.45181e+06n 0.00198467m
1.45186e+06n 0m
1.4539e+06n 17.114m
1.4539e+06n 274.252m
1.45391e+06n 1093.68m
1.45391e+06n 1089.69m
1.45392e+06n 274.758m
1.45392e+06n 16.8892m
1.45393e+06n 0.212135m
1.45393e+06n 0.00181312m
1.45398e+06n 0m
1.45549e+06n 0.43062m
1.4555e+06n 6.55881m
1.4555e+06n 26.5374m
1.45551e+06n 26.3076m
1.45551e+06n 6.6927m
1.45552e+06n 0.414336m
1.45552e+06n 0.00180933m
1.45557e+06n 0m
1.4579e+06n 0.0217095m
1.4579e+06n 0.358206m
1.45791e+06n 1.44549m
1.45791e+06n 1.39483m
1.45792e+06n 0.37087m
1.45792e+06n 0.0271368m
1.45798e+06n 0m
1.46004e+06n 0.774857m
1.46005e+06n 12.5923m
1.46005e+06n 49.9567m
1.46006e+06n 49.5837m
1.46006e+06n 12.4554m
1.46007e+06n 0.755035m
1.46007e+06n 0.00900997m
1.46013e+06n 0m
1.4617e+06n 0.0288286m
1.46171e+06n 0.338737m
1.46171e+06n 1.34774m
1.46172e+06n 1.5135m
1.46172e+06n 0.349547m
1.46173e+06n 0.0234233m
1.46179e+06n 0m
1.4643e+06n 0.836011m
1.4643e+06n 13.9323m
1.46431e+06n 54.3174m
1.46431e+06n 54.4501m
1.46432e+06n 13.7404m
1.46432e+06n 0.828835m
1.46433e+06n 0.00897007m
1.46438e+06n 0m
1.4659e+06n 0.545706m
1.46591e+06n 8.56669m
1.46591e+06n 33.6907m
1.46592e+06n 33.7676m
1.46592e+06n 8.79034m
1.46593e+06n 0.509922m
1.46593e+06n 0.0017892m
1.46598e+06n 0m
1.46679e+06n 0.0643932m
1.4668e+06n 0.906871m
1.4668e+06n 3.4665m
1.46681e+06n 3.52553m
1.46681e+06n 0.926547m
1.46682e+06n 0.053661m
1.46688e+06n 0m
1.46712e+06n 1.71267m
1.46713e+06n 27.8707m
1.46713e+06n 110.905m
1.46714e+06n 111.729m
1.46714e+06n 27.9222m
1.46715e+06n 1.69494m
1.46715e+06n 0.0319131m
1.46721e+06n 0m
1.46875e+06n 0.286836m
1.46876e+06n 4.24589m
1.46876e+06n 16.8083m
1.46877e+06n 16.5126m
1.46877e+06n 4.38045m
1.46878e+06n 0.256736m
1.46884e+06n 0m
1.47095e+06n 0.148623m
1.47095e+06n 2.31073m
1.47096e+06n 9.20755m
1.47096e+06n 8.86961m
1.47097e+06n 2.3125m
1.47097e+06n 0.146854m
1.47098e+06n 0.00353864m
1.47103e+06n 0m
1.473e+06n 0.455403m
1.473e+06n 7.37646m
1.47301e+06n 30.2454m
1.47301e+06n 30.0142m
1.47302e+06n 7.35528m
1.47302e+06n 0.439517m
1.47303e+06n 0.00176513m
1.47308e+06n 0m
1.47626e+06n 0.193971m
1.47626e+06n 3.08591m
1.47627e+06n 12.5076m
1.47627e+06n 12.6699m
1.47628e+06n 3.08415m
1.47628e+06n 0.188681m
1.47629e+06n 0.00352675m
1.47634e+06n 0m
1.47947e+06n 0.478373m
1.47947e+06n 8.22028m
1.47948e+06n 33.4017m
1.47948e+06n 33.4158m
1.47949e+06n 8.40143m
1.47949e+06n 0.488926m
1.4795e+06n 0.0070349m
1.47955e+06n 0m
1.48176e+06n 0.0369251m
1.48177e+06n 0.726194m
1.48177e+06n 2.72367m
1.48178e+06n 2.73773m
1.48178e+06n 0.768394m
1.48179e+06n 0.0404418m
1.48185e+06n 0m
1.48451e+06n 0.159868m
1.48452e+06n 2.7933m
1.48452e+06n 11.0836m
1.48453e+06n 11.1135m
1.48453e+06n 2.80209m
1.48454e+06n 0.154598m
1.4846e+06n 0m
1.48735e+06n 0.101844m
1.48736e+06n 1.5259m
1.48736e+06n 6.23705m
1.48737e+06n 6.30905m
1.48737e+06n 1.55224m
1.48738e+06n 0.0755048m
1.48744e+06n 0m
1.48778e+06n 0.108796m
1.48779e+06n 2.13205m
1.48779e+06n 8.23865m
1.4878e+06n 8.22637m
1.4878e+06n 2.21628m
1.48781e+06n 0.133363m
1.48781e+06n 0.00175477m
1.48786e+06n 0m
1.49074e+06n 0.348607m
1.49075e+06n 5.38151m
1.49075e+06n 21.4875m
1.49076e+06n 21.4525m
1.49076e+06n 5.28341m
1.49077e+06n 0.338096m
1.49077e+06n 0.00875897m
1.49082e+06n 0m
1.49347e+06n 0.415926m
1.49348e+06n 7.77326m
1.49348e+06n 30.38m
1.49349e+06n 30.2647m
1.49349e+06n 7.6055m
1.4935e+06n 0.445635m
1.4935e+06n 0.00524276m
1.49355e+06n 0m
1.4952e+06n 0.0297041m
1.49521e+06n 0.531179m
1.49521e+06n 2.04085m
1.49522e+06n 2.09851m
1.49522e+06n 0.510212m
1.49523e+06n 0.0314514m
1.49529e+06n 0m
1.4977e+06n 0.130969m
1.4977e+06n 1.87547m
1.49771e+06n 7.54555m
1.49771e+06n 7.67303m
1.49772e+06n 1.88071m
1.49772e+06n 0.103029m
1.49778e+06n 0m
1.50082e+06n 0m
1.50205e+06n 0.0506275m
1.50205e+06n 0.902566m
1.50206e+06n 3.37109m
1.50206e+06n 3.51599m
1.50207e+06n 0.841464m
1.50207e+06n 0.0471359m
1.50213e+06n 0m
1.50545e+06n 0.146549m
1.50546e+06n 2.03948m
1.50546e+06n 8.31492m
1.50547e+06n 8.26956m
1.50547e+06n 2.05169m
1.50548e+06n 0.111657m
1.50548e+06n 0.00174463m
1.50554e+06n 0m
1.5068e+06n 0.0366293m
1.50681e+06n 0.732587m
1.50681e+06n 2.77685m
1.50682e+06n 2.75243m
1.50682e+06n 0.641885m
1.50683e+06n 0.0331408m
1.50683e+06n 0.00174425m
1.50689e+06n 0m
1.50737e+06n 0.181244m
1.50737e+06n 2.69252m
1.50738e+06n 10.9635m
1.50738e+06n 11.0489m
1.50739e+06n 2.818m
1.50739e+06n 0.177759m
1.50745e+06n 0m
1.5093e+06n 0.127143m
1.5093e+06n 1.91063m
1.50931e+06n 7.57287m
1.50931e+06n 7.53281m
1.50932e+06n 1.88973m
1.50932e+06n 0.118435m
1.50938e+06n 0m
1.51095e+06n 0.0609426m
1.51096e+06n 0.849714m
1.51096e+06n 3.45806m
1.51097e+06n 3.46328m
1.51097e+06n 0.830561m
1.51098e+06n 0.040048m
1.51098e+06n 0.00174122m
1.51103e+06n 0m
1.51349e+06n 0.0765761m
1.5135e+06n 1.53152m
1.5135e+06n 6.19396m
1.51351e+06n 6.22703m
1.51351e+06n 1.53848m
1.51352e+06n 0.090499m
1.51352e+06n 0.00174037m
1.51357e+06n 0m
1.51429e+06n 0.0678521m
1.51429e+06n 1.05954m
1.5143e+06n 4.09722m
1.5143e+06n 4.10592m
1.51431e+06n 1.04214m
1.51431e+06n 0.0626327m
1.51432e+06n 0.0017398m
1.51437e+06n 0m
1.51793e+06n 0.724401m
1.51793e+06n 12.5904m
1.51794e+06n 49.0842m
1.51794e+06n 49.2558m
1.51795e+06n 12.32m
1.51795e+06n 0.785056m
1.51796e+06n 0.00519905m
1.51801e+06n 0m
1.51972e+06n 0.193898m
1.51972e+06n 3.36725m
1.51972e+06n 12.896m
1.51973e+06n 13.1106m
1.51974e+06n 3.15258m
1.51974e+06n 0.171392m
1.51974e+06n 0.00173123m
1.5198e+06n 0m
1.52164e+06n 0.0259657m
1.52164e+06n 0.361789m
1.52165e+06n 1.34329m
1.52165e+06n 1.38311m
1.52166e+06n 0.325437m
1.52166e+06n 0.0225036m
1.52172e+06n 0m
1.52286e+06n 0.512735m
1.52287e+06n 8.70786m
1.52287e+06n 33.7369m
1.52288e+06n 34.0045m
1.52288e+06n 8.79936m
1.52289e+06n 0.542083m
1.52289e+06n 0.00690552m
1.52295e+06n 0m
1.52366e+06n 0.0448762m
1.52367e+06n 0.674869m
1.52367e+06n 2.70983m
1.52368e+06n 2.70983m
1.52368e+06n 0.709389m
1.52369e+06n 0.0535062m
1.52374e+06n 0m
1.52525e+06n 0.0879884m
1.52525e+06n 1.49753m
1.52526e+06n 5.35522m
1.52526e+06n 5.44148m
1.52527e+06n 1.32673m
1.52527e+06n 0.0914389m
1.52528e+06n 0.00172526m
1.52533e+06n 0m
1.52685e+06n 0.35992m
1.52686e+06n 5.69156m
1.52686e+06n 22.985m
1.52687e+06n 23.3432m
1.52687e+06n 5.78456m
1.52688e+06n 0.375419m
1.52688e+06n 0.00688843m
1.52693e+06n 0m
1.52938e+06n 0.111877m
1.52939e+06n 1.72979m
1.52939e+06n 6.83653m
1.5294e+06n 6.66269m
1.5294e+06n 1.78314m
1.52941e+06n 0.0877802m
1.52947e+06n 0m
1.52983e+06n 0.455036m
1.52983e+06n 7.32351m
1.52984e+06n 29.8006m
1.52984e+06n 29.8658m
1.52985e+06n 7.63946m
1.52985e+06n 0.456753m
1.52986e+06n 0.00686847m
1.52991e+06n 0m
1.53265e+06n 0.120134m
1.53266e+06n 1.75052m
1.53266e+06n 6.73779m
1.53267e+06n 6.73608m
1.53267e+06n 1.69389m
1.53268e+06n 0.12185m
1.53268e+06n 0.0017162m
1.53273e+06n 0m
1.53367e+06n 0.0634687m
1.53368e+06n 1.56442m
1.53368e+06n 6.17876m
1.53369e+06n 5.92489m
1.53369e+06n 1.61931m
1.5337e+06n 0.0823378m
1.5337e+06n 0.00343074m
1.53376e+06n 0m
1.53588e+06n 0.188499m
1.53589e+06n 3.22161m
1.53589e+06n 12.8539m
1.5359e+06n 12.9447m
1.5359e+06n 3.13079m
1.53591e+06n 0.21249m
1.53591e+06n 0.00342725m
1.53597e+06n 0m
1.5367e+06n 0.241311m
1.53671e+06n 3.94997m
1.53671e+06n 16.2876m
1.53672e+06n 16.2021m
1.53672e+06n 4.13994m
1.53673e+06n 0.248157m
1.53673e+06n 0.00171143m
1.53678e+06n 0m
1.5391e+06n 0.0889466m
1.5391e+06n 1.66775m
1.53911e+06n 6.78389m
1.53911e+06n 6.69836m
1.53912e+06n 1.76354m
1.53912e+06n 0.0974992m
1.53913e+06n 0.00342102m
1.53918e+06n 0m
1.53916e+06n 0.0786541m
1.53917e+06n 1.21743m
1.53917e+06n 4.58075m
1.53918e+06n 4.84578m
1.53918e+06n 1.18836m
1.53919e+06n 0.0581356m
1.53925e+06n 0m
1.54114e+06n 0.211798m
1.54115e+06n 3.38364m
1.54115e+06n 13.6251m
1.54116e+06n 13.3211m
1.54116e+06n 3.3956m
1.54117e+06n 0.220338m
1.54117e+06n 0.00170805m
1.54123e+06n 0m
1.54329e+06n 0.0546429m
1.54329e+06n 0.83672m
1.5433e+06n 3.42714m
1.5433e+06n 3.33493m
1.54331e+06n 0.824767m
1.54331e+06n 0.0580581m
1.54332e+06n 0.00170759m
1.54337e+06n 0m
1.54477e+06n 0.529733m
1.54478e+06n 7.75352m
1.54478e+06n 31.6971m
1.54479e+06n 32.0105m
1.54479e+06n 7.57807m
1.5448e+06n 0.480336m
1.5448e+06n 0.00340664m
1.54485e+06n 0m
1.54567e+06n 0.199087m
1.54568e+06n 3.28239m
1.54568e+06n 12.6871m
1.54569e+06n 12.8539m
1.54569e+06n 3.12754m
1.5457e+06n 0.173563m
1.5457e+06n 0.0034032m
1.54576e+06n 0m
1.54846e+06n 0m
1.55001e+06n 0.332947m
1.55002e+06n 5.46985m
1.55002e+06n 21.7435m
1.55003e+06n 21.2101m
1.55003e+06n 5.31696m
1.55004e+06n 0.273492m
1.55004e+06n 0.00509613m
1.55009e+06n 0m
1.55134e+06n 0.0628323m
1.55134e+06n 0.988335m
1.55135e+06n 4.05013m
1.55135e+06n 4.03655m
1.55136e+06n 0.996826m
1.55136e+06n 0.0543414m
1.55142e+06n 0m
1.55278e+06n 0.0373478m
1.55278e+06n 0.982927m
1.55279e+06n 4.0845m
1.55279e+06n 4.06073m
1.5528e+06n 0.935394m
1.5528e+06n 0.0797886m
1.55281e+06n 0.00339526m
1.55286e+06n 0m
1.55383e+06n 0.0916331m
1.55383e+06n 1.39825m
1.55384e+06n 5.46235m
1.55384e+06n 5.22309m
1.55385e+06n 1.30153m
1.55385e+06n 0.0967238m
1.55391e+06n 0m
1.55618e+06n 0.64613m
1.55619e+06n 10.3922m
1.55619e+06n 40.625m
1.5562e+06n 40.6656m
1.5562e+06n 10.1791m
1.55621e+06n 0.64613m
1.55621e+06n 0.0135315m
1.55626e+06n 0m
1.55871e+06n 0.0946656m
1.55871e+06n 1.79357m
1.55872e+06n 7.29432m
1.55872e+06n 7.40082m
1.55873e+06n 1.89331m
1.55873e+06n 0.113261m
1.55874e+06n 0.00169046m
1.55879e+06n 0m
1.56088e+06n 0.121629m
1.56088e+06n 2.27379m
1.56089e+06n 8.56136m
1.56089e+06n 8.62386m
1.5609e+06n 2.22649m
1.5609e+06n 0.150347m
1.56091e+06n 0.0016893m
1.56096e+06n 0m
1.56277e+06n 0.0945557m
1.56278e+06n 1.56017m
1.56278e+06n 5.97221m
1.56278e+06n 5.94857m
1.56279e+06n 1.52302m
1.5628e+06n 0.0979327m
1.56285e+06n 0m
1.56485e+06n 0.0573937m
1.56485e+06n 0.801824m
1.56486e+06n 3.27988m
1.56486e+06n 3.37779m
1.56487e+06n 0.87441m
1.56487e+06n 0.0472654m
1.56493e+06n 0m
1.56525e+06n 0.0354416m
1.56526e+06n 0.663264m
1.56526e+06n 2.65643m
1.56527e+06n 2.68006m
1.56527e+06n 0.649762m
1.56528e+06n 0.0658201m
1.56534e+06n 0m
1.56668e+06n 0.112998m
1.56669e+06n 2.19419m
1.56669e+06n 8.58279m
1.5667e+06n 8.64519m
1.5667e+06n 2.25153m
1.56671e+06n 0.13661m
1.56676e+06n 0m
1.56797e+06n 0.0337254m
1.56798e+06n 0.499136m
1.56798e+06n 2.05894m
1.56799e+06n 1.97125m
1.56799e+06n 0.458666m
1.568e+06n 0.0354117m
1.568e+06n 0.00168627m
1.56806e+06n 0m
1.57087e+06n 0.0539436m
1.57088e+06n 1.05527m
1.57088e+06n 4.0424m
1.57089e+06n 3.87551m
1.57089e+06n 1.03167m
1.5709e+06n 0.0522579m
1.5709e+06n 0.00168574m
1.57096e+06n 0m
1.57354e+06n 0.0522441m
1.57355e+06n 0.861185m
1.57355e+06n 3.31329m
1.57356e+06n 3.30318m
1.57356e+06n 0.83085m
1.57357e+06n 0.0640412m
1.57357e+06n 0.00168529m
1.57363e+06n 0m
1.57511e+06n 0.0572849m
1.57511e+06n 0.825577m
1.57512e+06n 3.336m
1.57512e+06n 3.36128m
1.57513e+06n 0.780086m
1.57513e+06n 0.0623395m
1.57519e+06n 0m
1.57818e+06n 0.153209m
1.57819e+06n 2.35537m
1.57819e+06n 9.13359m
1.5782e+06n 9.33394m
1.5782e+06n 2.44123m
1.57821e+06n 0.149841m
1.57827e+06n 0m
1.5792e+06n 0.0622772m
1.57921e+06n 0.873564m
1.57921e+06n 3.28891m
1.57922e+06n 3.27039m
1.57922e+06n 0.853366m
1.57923e+06n 0.0673267m
1.57929e+06n 0m
1.582e+06n 0.0958851m
1.58201e+06n 1.75789m
1.58201e+06n 7.3596m
1.58202e+06n 7.26708m
1.58202e+06n 1.8891m
1.58203e+06n 0.131211m
1.58203e+06n 0.00336439m
1.58209e+06n 0m
1.58355e+06n 0.0790341m
1.58356e+06n 1.13002m
1.58356e+06n 4.65965m
1.58357e+06n 4.59238m
1.58357e+06n 1.23596m
1.58358e+06n 0.0706262m
1.58363e+06n 0m
1.58448e+06n 0.0588366m
1.58448e+06n 0.956515m
1.58449e+06n 4.0177m
1.58449e+06n 3.95886m
1.5845e+06n 1.04897m
1.5845e+06n 0.0437072m
1.58451e+06n 0.00168105m
1.58456e+06n 0m
1.58638e+06n 0.194807m
1.58639e+06n 3.17401m
1.58639e+06n 12.5818m
1.5864e+06n 12.4828m
1.5864e+06n 3.25798m
1.58641e+06n 0.211601m
1.58641e+06n 0.00335874m
1.58646e+06n 0m
1.5884e+06n 0.192905m
1.5884e+06n 3.86984m
1.58841e+06n 14.4964m
1.58841e+06n 14.4964m
1.58842e+06n 3.64003m
1.58842e+06n 0.20297m
1.58843e+06n 0.00335487m
1.58848e+06n 0m
1.59044e+06n 0.103941m
1.59044e+06n 1.81729m
1.59045e+06n 7.29934m
1.59045e+06n 7.30269m
1.59046e+06n 1.81226m
1.59046e+06n 0.105617m
1.59052e+06n 0m
1.59239e+06n 0.256178m
1.5924e+06n 3.96322m
1.5924e+06n 16.0036m
1.59241e+06n 15.6905m
1.59241e+06n 4.03856m
1.59242e+06n 0.229388m
1.59248e+06n 0m
1.59247e+06n 0.0703012m
1.59247e+06n 1.02439m
