time	V(-1)
2.668003895077496e-008	-2.430137e-004
2.670793273927962e-008	-3.025034e-004
2.673930012891275e-008	-3.606092e-004
2.676803138265906e-008	-4.039196e-004
2.679805250045092e-008	-4.371481e-004
2.682701970357239e-008	-4.561217e-004
2.685974411401454e-008	-4.623012e-004
2.688472012485157e-008	-4.554371e-004
2.690996014248098e-008	-4.371157e-004
2.693510653942494e-008	-4.085636e-004
2.695975119219655e-008	-3.703533e-004
2.699154548277980e-008	-3.083159e-004
2.702222061329044e-008	-2.373439e-004
2.705064987855739e-008	-1.629498e-004
2.707410983690813e-008	-9.636406e-005
2.710215320477880e-008	-1.280599e-005
2.712811073949248e-008	6.615914e-005
2.715391634698642e-008	1.444435e-004
2.717866460397927e-008	2.173757e-004
2.720508728420135e-008	2.906020e-004
2.723672104090364e-008	3.698564e-004
2.726704250813721e-008	4.354072e-004
2.729278358492162e-008	4.806207e-004
2.731780656349448e-008	5.124971e-004
2.735286537431501e-008	5.382738e-004
2.738566433555613e-008	5.437529e-004
2.741208827551864e-008	5.323870e-004
2.744151878572867e-008	5.034987e-004
2.746926360622708e-008	4.621441e-004
2.750010834515273e-008	4.015715e-004
2.752966776398929e-008	3.318962e-004
2.755488282143904e-008	2.644628e-004
2.758329169821665e-008	1.821877e-004
2.761058043745345e-008	9.984106e-005
2.764676039896849e-008	-1.027019e-005
2.767140716200315e-008	-8.336809e-005
2.769511699864809e-008	-1.497590e-004
2.772029024085418e-008	-2.137726e-004
2.775174220471393e-008	-2.825898e-004
2.778320960596397e-008	-3.376452e-004
2.781075689634113e-008	-3.720910e-004
2.783672150438867e-008	-3.908869e-004
2.786452537660761e-008	-3.956343e-004
2.789682841156380e-008	-3.832424e-004
2.792451670490029e-008	-3.575622e-004
2.795249938387511e-008	-3.176099e-004
2.797908447407303e-008	-2.682660e-004
2.800878548013688e-008	-2.024872e-004
2.803724403686633e-008	-1.318160e-004
2.806330437833657e-008	-6.248974e-005
2.809005713122412e-008	1.062002e-005
2.811961636710994e-008	9.001303e-005
2.815648267049231e-008	1.826637e-004
2.818971004366959e-008	2.555929e-004
2.822488275455896e-008	3.174383e-004
2.825572026280721e-008	3.563068e-004
2.828235858999679e-008	3.757792e-004
2.830824019811985e-008	3.809994e-004
2.833531518450179e-008	3.721773e-004
2.836327347928809e-008	3.480727e-004
2.839370798909422e-008	3.060454e-004
2.842205166214670e-008	2.538218e-004
2.844656528668098e-008	1.993299e-004
2.846809894719341e-008	1.451096e-004
2.849372215963323e-008	7.490467e-005
2.852716885537573e-008	-2.135980e-005
2.855927167809779e-008	-1.147456e-004
2.859331712476178e-008	-2.110312e-004
2.861685812871518e-008	-2.728791e-004
2.864536269364167e-008	-3.395907e-004
2.867170143464191e-008	-3.916641e-004
2.870043437234469e-008	-4.357961e-004
2.872792960080474e-008	-4.646843e-004
2.875408223747106e-008	-4.783451e-004
2.878210319393579e-008	-4.777559e-004
2.881031037797839e-008	-4.622520e-004
2.883505916884925e-008	-4.360138e-004
2.886143123680632e-008	-3.956367e-004
2.888861706098509e-008	-3.426105e-004
2.891741962430611e-008	-2.755847e-004
2.895094436440220e-008	-1.875685e-004
2.898220930083899e-008	-9.938862e-005
2.901843953486440e-008	5.219713e-006
2.905395382141018e-008	1.054316e-004
2.907949787610340e-008	1.731546e-004
2.910260415540943e-008	2.287855e-004
2.912663119346625e-008	2.797135e-004
2.915064170966689e-008	3.224970e-004
2.917558494946444e-008	3.570033e-004
2.920372765121692e-008	3.837084e-004
2.922902850766673e-008	3.953080e-004
2.926144647556681e-008	3.934653e-004
2.929133552190786e-008	3.766745e-004
2.932074451866896e-008	3.455660e-004
2.935273154620013e-008	2.980891e-004
2.938171885988288e-008	2.446800e-004
2.941426374066466e-008	1.757800e-004
2.944497204092420e-008	1.056335e-004
2.946418287599000e-008	6.021189e-005
2.948743659852833e-008	5.094167e-006
2.950934504769846e-008	-4.538067e-005
2.953830252206125e-008	-1.081077e-004
2.956833453605026e-008	-1.665620e-004
2.959932451874378e-008	-2.173161e-004
2.963164213374511e-008	-2.578599e-004
2.966490864107494e-008	-2.848626e-004
2.969894544409181e-008	-2.952837e-004
2.974037036319436e-008	-2.868100e-004
2.977406201890598e-008	-2.640189e-004
2.980327130708680e-008	-2.322759e-004
2.983176511151574e-008	-1.924865e-004
2.985829357813822e-008	-1.492281e-004
2.988644925429436e-008	-9.848006e-005
2.992109512705632e-008	-3.265091e-005
2.995606515943333e-008	3.432137e-005
2.998650697323569e-008	9.044910e-005
3.001651948446889e-008	1.412805e-004
3.004626287696828e-008	1.850754e-004
3.007908456675865e-008	2.237338e-004
3.011559269074592e-008	2.541167e-004
3.014751826964681e-008	2.682087e-004
3.018215921867989e-008	2.694505e-004
3.021558119709718e-008	2.573928e-004
3.025173224430353e-008	2.311803e-004
3.028087060716191e-008	2.012398e-004
3.030605400881946e-008	1.691795e-004
3.033480243909069e-008	1.271764e-004
3.037483391236017e-008	6.356887e-005
3.040632378789143e-008	1.160736e-005
3.043709145618950e-008	-3.877958e-005
3.046965259132336e-008	-8.899091e-005
3.050608172636913e-008	-1.387320e-004
3.054501488432159e-008	-1.819757e-004
3.058325004141832e-008	-2.112592e-004
3.063085706924962e-008	-2.300608e-004
3.066231274601415e-008	-2.311140e-004
3.069054551759723e-008	-2.227201e-004
3.071789631884345e-008	-2.072107e-004
3.074828369397650e-008	-1.826165e-004
3.078091788883940e-008	-1.493186e-004
3.081409046814709e-008	-1.099677e-004
3.084275024659373e-008	-7.281992e-005
3.087638533931481e-008	-2.764284e-005
3.090929426994697e-008	1.538816e-005
3.095781158454832e-008	7.290528e-005
3.100168581080014e-008	1.160453e-004
3.103616528115429e-008	1.407542e-004
3.107014706206601e-008	1.554698e-004
3.110174228228213e-008	1.601469e-004
3.113537640559200e-008	1.559266e-004
3.116338254169399e-008	1.453896e-004
3.119188336274346e-008	1.282070e-004
3.122277254307983e-008	1.035974e-004
3.125924252960874e-008	6.879297e-005
3.129672012617069e-008	2.919279e-005
3.133047128297782e-008	-7.582674e-006
3.136558813496299e-008	-4.420103e-005
3.140386321356238e-008	-7.944255e-005
3.143945103715097e-008	-1.054766e-004
3.147410488628540e-008	-1.224702e-004
3.150802696614166e-008	-1.300253e-004
3.153984689983250e-008	-1.283106e-004
3.157037833097794e-008	-1.181769e-004
3.160485451829952e-008	-9.774711e-005
3.163738810791194e-008	-7.105133e-005
3.166703131066911e-008	-4.105484e-005
3.170281958889882e-008	-7.187371e-008
3.173810269045716e-008	4.265501e-005
3.176700576088623e-008	7.761674e-005
3.179652056946770e-008	1.110756e-004
3.183176720009781e-008	1.457201e-004
3.186843294779880e-008	1.737955e-004
3.190036787688590e-008	1.897500e-004
3.192827954210823e-008	1.953338e-004
3.195978511488204e-008	1.919164e-004
3.199015651514373e-008	1.793364e-004
3.201816632352150e-008	1.590988e-004
3.205041391026445e-008	1.266265e-004
3.208173622343198e-008	8.718172e-005
3.211680388533912e-008	3.594391e-005
3.214465634615552e-008	-8.433227e-006
3.217465881691217e-008	-5.795819e-005
3.221306519232839e-008	-1.201296e-004
3.224840870901542e-008	-1.726613e-004
3.228663664852499e-008	-2.201054e-004
3.232778605495010e-008	-2.580054e-004
3.235871384452031e-008	-2.750412e-004
3.238771418331245e-008	-2.796790e-004
3.241824388090228e-008	-2.729996e-004
3.244862539117912e-008	-2.548676e-004
3.247995153798707e-008	-2.249976e-004
3.250769436768347e-008	-1.895578e-004
