66007.5n 2.152m
66012.5n 8.32235m
66017.5n 8.25787m
66022.5n 2.10087m
66027.5n 0.148951m
66032.5n 0.00222315m
66085n 0m
66502.5n 0.566389m
66507.5n 9.26682m
66512.5n 36.8778m
66517.5n 37.1846m
66522.5n 9.1796m
66527.5n 0.586848m
66532.5n 0.0075375m
66585n 0m
67002.5n 0.290237m
67007.5n 4.79314m
67012.5n 19.2541m
67017.5n 19.1005m
67022.5n 4.97534m
67027.5n 0.306126m
67032.5n 0.00317778m
67085n 0m
67502.5n 0.0243285m
67507.5n 0.408296m
67512.5n 1.67867m
67517.5n 1.65751m
67522.5n 0.438971m
67527.5n 0.0232707m
67585n 0m
68002.5n 0.383486m
68007.5n 6.82109m
68012.5n 27.2203m
68017.5n 26.7003m
68022.5n 6.65881m
68027.5n 0.423799m
68032.5n 0.00413462m
68085n 0m
68502.5n 0.0772574m
68507.5n 0.959021m
68512.5n 3.99678m
68517.5n 4.12863m
68522.5n 1.08675m
68527.5n 0.0504748m
68585n 0m
69002.5n 0.0513459m
69007.5n 0.893418m
69012.5n 3.66815m
69017.5n 3.66507m
69022.5n 0.90266m
69027.5n 0.0595612m
69032.5n 0.00102692m
69085n 0m
69502.5n 0.0389427m
69507.5n 0.634356m
69512.5n 2.44827m
69517.5n 2.37858m
69522.5n 0.606686m
69527.5n 0.0399675m
69585n 0m
70002.5n 0.0327155m
70007.5n 0.726897m
70012.5n 2.75934m
70017.5n 2.881m
70022.5n 0.694181m
70027.5n 0.0613415m
70032.5n 0.00102236m
70085n 0m
70502.5n 0.0316175m
70507.5n 0.678247m
70512.5n 2.89759m
70517.5n 2.79356m
70522.5n 0.697625m
70527.5n 0.0387569m
70532.5n 0.00101992m
70585n 0m
71002.5n 0.0437076m
71007.5n 1.01341m
71012.5n 4.02517m
71017.5n 3.99366m
71022.5n 1.03272m
71027.5n 0.0559051m
71085n 0m
71502.5n 0.0979974m
71507.5n 1.83568m
71512.5n 7.10228m
71517.5n 7.2417m
71522.5n 1.79628m
71527.5n 0.10608m
71532.5n 0.00303085m
71585n 0m
72002.5n 0.0151389m
72007.5n 0.307824m
72012.5n 1.21919m
72017.5n 1.16166m
72022.5n 0.305806m
72027.5n 0.0181667m
72085n 0m
72502.5n 0.0754402m
72507.5n 1.01392m
72512.5n 4.03353m
72517.5n 3.86958m
72522.5n 1.0109m
72527.5n 0.0543169m
72585n 0m
73085n 0m
73502.5n 0.0221068m
73507.5n 0.317535m
73512.5n 1.14453m
73517.5n 1.21286m
73522.5n 0.298442m
73527.5n 0.0180874m
73532.5n 0.00100486m
73585n 0m
74002.5n 0.0870717m
74007.5n 1.12793m
74012.5n 4.86501m
74017.5n 4.64783m
74022.5n 1.211m
74027.5n 0.0660544m
74032.5n 0.00200165m
74085n 0m
74502.5n 0.0289755m
74507.5n 0.502575m
74512.5n 1.99931m
74517.5n 1.93137m
74522.5n 0.503574m
74527.5n 0.0299746m
74585n 0m
75002.5n 0.0438749m
75007.5n 0.56838m
75012.5n 2.30842m
75017.5n 2.42708m
75022.5n 0.605274m
75027.5n 0.0299147m
75085n 0m
75502.5n 0.050703m
75507.5n 0.890782m
75512.5n 3.53728m
75517.5n 3.53827m
75522.5n 0.872887m
75527.5n 0.0556739m
75585n 0m
76002.5n 0.0575094m
76007.5n 0.788276m
76012.5n 3.11245m
76017.5n 3.14418m
76022.5n 0.791251m
76027.5n 0.0386701m
76085n 0m
76502.5n 0.10159m
76507.5n 1.58501m
76512.5n 6.22168m
76517.5n 6.2197m
76522.5n 1.55246m
76527.5n 0.100604m
76585n 0m
77002.5n 0.0668272m
77007.5n 1.04663m
77012.5n 4.29955m
77017.5n 4.30643m
77022.5n 1.02993m
77027.5n 0.059948m
77085n 0m
77502.5n 0.0792647m
77507.5n 1.28976m
77512.5n 4.97998m
77517.5n 5.04554m
77522.5n 1.26041m
77527.5n 0.0665432m
77585n 0m
78002.5n 0.0322298m
78007.5n 0.595763m
78012.5n 2.29906m
78017.5n 2.33422m
78022.5n 0.569393m
78027.5n 0.0292998m
78085n 0m
78502.5n 0.0632354m
78507.5n 1.18493m
78512.5n 4.55781m
78517.5n 4.65607m
78522.5n 1.15088m
78527.5n 0.0603168m
78585n 0m
79002.5n 0.0397835m
79007.5n 0.743272m
79012.5n 3.08274m
79017.5n 3.08468m
79022.5n 0.767531m
79027.5n 0.0446352m
79085n 0m
79502.5n 0.0145408m
79507.5n 0.285969m
79512.5n 1.15842m
79517.5n 1.12837m
79522.5n 0.304387m
79527.5n 0.0164796m
79585n 0m
80002.5n 0.113798m
80007.5n 1.50348m
80012.5n 6.11423m
80017.5n 6.04094m
80022.5n 1.5681m
80027.5n 0.0867951m
80032.5n 0.00096439m
80085n 0m
80502.5n 5.16569m
80507.5n 82.9807m
80512.5n 332.711m
80517.5n 332.013m
80522.5n 84.0552m
80527.5n 5.12673m
80532.5n 0.0824232m
80585n 0m
81002.5n 1.52074m
81007.5n 24.1054m
81012.5n 93.7386m
81017.5n 94.7849m
81022.5n 23.6998m
81027.5n 1.47344m
81032.5n 0.0214997m
81085n 0m
81502.5n 0.571251m
81507.5n 8.8424m
81512.5n 34.4344m
81517.5n 34.3639m
81522.5n 8.71827m
81527.5n 0.506368m
81532.5n 0.00564198m
81585n 0m
82002.5n 0.0140977m
82007.5n 0.274906m
82012.5n 1.16024m
82017.5n 1.06579m
82022.5n 0.289003m
82027.5n 0.0155075m
82085n 0m
82502.5n 0.0253629m
82507.5n 0.293082m
82512.5n 1.15119m
82517.5n 1.03565m
82522.5n 0.293082m
82527.5n 0.0197267m
82585n 0m
83002.5n 0.0126782m
83007.5n 0.121147m
83012.5n 0.540936m
83017.5n 0.584605m
83022.5n 0.140869m
83027.5n 0.00845212m
83085n 0m
83502.5n 0.271199m
83507.5n 4.06939m
83512.5n 16.5767m
83517.5n 16.5208m
83522.5n 4.25252m
83527.5n 0.241843m
83532.5n 0.0041938m
83585n 0m
84002.5n 0.0404886m
84007.5n 0.667363m
84012.5n 2.7267m
84017.5n 2.79232m
84022.5n 0.717625m
84027.5n 0.0335078m
84032.5n 0.00279232m
84085n 0m
84502.5n 0.0237166m
84507.5n 0.36412m
84512.5n 1.67132m
84517.5n 1.68248m
84522.5n 0.419923m
84527.5n 0.0237166m
84585n 0m
85002.5n 0.0626837m
85007.5n 0.906825m
85012.5n 3.27766m
85017.5n 3.25816m
85022.5n 0.792601m
